horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
1m,all,"[0.0,0.01)bps",98,0.0002983321360036654565930731368,-1.134611285810862979563779062,-0.2081074250967509800462500616,0.2703518176224989305344399722
1m,all,"[0.01,0.05)bps",0,,,,
1m,all,>=0.05bps,0,,,,
1m,buy,<-0.05bps,3,-0.06651419728728264827202838073,-6.329054751453898166530821947,-6.936251092289540881379905953,0.1941399839270074939483916976
1m,buy,"[-0.05,-0.01)bps",0,,,,
1m,buy,"[-0.01,0.0)bps",759,-0.0005768933594886026137837422794,-1.804077068161533375687155005,-1.411136482368048930690468583,0.2121514613664657939094790100
1m,buy,"[0.0,0.01)bps",40,0.000318833085977860263238093683,0.2930565692371400347946886072,1.645155125089559438053123080,0.306675059106356413076044325
1m,buy,"[0.01,0.05)bps",0,,,,
1m,buy,>=0.05bps,0,,,,
1m,sell,<-0.05bps,0,,,,
1m,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-2.431679200644210339367179367,-2.947942926112411650970770770,0.1174008574898577888441777655
1m,sell,"[-0.01,0.0)bps",725,-0.0006004908236179422050109167986,-1.613076296933955697767987441,-1.369055684464546849601262532,0.2121749680054741321785783775
1m,sell,"[0.0,0.01)bps",58,0.0002841935498145655899413348295,-2.119209806533623679121342971,-3.073144454029625925915169540,0.2453013062543213563678162809
1m,sell,"[0.01,0.05)bps",0,,,,
1m,sell,>=0.05bps,0,,,,
5m,all,<-0.05bps,3,-0.06651419728728264827202838073,-7.411467315873684599556553653,-6.155321757702804255824071511,0.1941399839270074939483916976
5m,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,4.654183927277834078552375185,2.492955662981015256952177090,0.1174008574898577888441777655
5m,all,"[-0.01,0.0)bps",1386,-0.0005894022545292272082270927771,-1.679310425643102405975282129,-1.252091039309486619787718895,0.2127552416048115699737346847
5m,all,"[0.0,0.01)bps",87,0.0003027599836739898402867205226,0.1714421727550920115220187044,0.4036132806259234755946821260,0.2479607039803181537591274787
5m,all,"[0.01,0.05)bps",0,,,,
5m,all,>=0.05bps,0,,,,
5m,buy,<-0.05bps,3,-0.06651419728728264827202838073,-7.411467315873684599556553653,-6.155321757702804255824071511,0.1941399839270074939483916976
5m,buy,"[-0.05,-0.01)bps",0,,,,
5m,buy,"[-0.01,0.0)bps",713,-0.0005782214335975894353589266631,-0.9806535047574894857972832662,-0.2006038707911796736467292768,0.2129990623839343117862740097
5m,buy,"[0.0,0.01)bps",34,0.0003225595575917622274276337982,3.161917831445967787553474562,1.697711906680065568204659816,0.2976463565466608746245670868
5m,buy,"[0.01,0.05)bps",0,,,,
5m,buy,>=0.05bps,0,,,,
5m,sell,<-0.05bps,0,,,,
5m,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,4.654183927277834078552375185,2.492955662981015256952177090,0.1174008574898577888441777655
5m,sell,"[-0.01,0.0)bps",673,-0.0006012476116232208665554767878,-2.419492274961738382330279458,-2.030589279371469822713888168,0.2124969292489207602971514172
5m,sell,"[0.0,0.01)bps",53,0.0002900583702173056674038704972,-1.746976174329620750460424674,-1.561803317984779478243310176,0.2160868891264379177322416926
5m,sell,"[0.01,0.05)bps",0,,,,
5m,sell,>=0.05bps,0,,,,
