session,fill_id,order_id,side,price,quantity,placed_time_ms,fill_time_ms,time_from_place_to_fill_ms,mid_at_placed,mid_at_fill,quoted_distance,quoted_distance_bps,fill_edge,fill_edge_bps,pre_fill_mid_move,pre_fill_mid_move_bps,book_spread_at_fill,book_spread_bps_at_fill,volatility_bps_at_fill,quote_position_at_fill
2026-04-12 12:00,fill-000002,ord-000299,buy,71360.00000000,0.00040000,1775997234814,1775997243252,8438,71362.00500000,71362.00500000,2.00500000,0.2809618367645359740102593810,2.00500000,0.2809618367645359740102593810,0.00000000,0,0.01000000,0.001401305919025117077357902150,1.038527,behind_best
2026-04-12 13:00,fill-000001,ord-000077,buy,71002.00000000,0.00040000,1775998995514,1775998996570,1056,71004.00500000,71004.00500000,2.00500000,0.2823784376670020233365709441,2.00500000,0.2823784376670020233365709441,0.00000000,0,0.01000000,0.001408371260184548744820802714,3.909029,behind_best
2026-04-12 13:00,fill-000002,ord-000103,buy,70992.00000000,0.00040000,1775999070214,1775999077625,7411,70994.00500000,70994.00500000,2.00500000,0.2824182126364050034929005625,2.00500000,0.2824182126364050034929005625,0.00000000,0,0.01000000,0.001408569639084314231884790836,2.711577,behind_best
2026-04-12 13:00,fill-000003,ord-000164,sell,71034.00000000,0.00056000,1775999223314,1775999225015,1701,71031.99500000,71032.52000000,2.00500000,0.2822671670702758665302868095,1.48000000,0.2083552716417775970780707203,-0.52500000,-0.07391035546727921692189554862,0.08000000,0.01126244711577176200422003893,6.429027,behind_best
2026-04-12 13:00,fill-000004,ord-000258,sell,71032.52000000,0.00032000,1775999565714,1775999567475,1761,71030.51500000,71030.51500000,2.00500000,0.2822730484215129230021773037,2.00500000,0.2822730484215129230021773037,-0.00000000,-0,0.01000000,0.001407845628037470937666719719,1.457129,behind_best
2026-04-12 13:00,fill-000005,ord-000466,sell,71082.34000000,0.00008000,1776000343414,1776000347578,4164,71080.33500000,71081.77500000,2.00500000,0.2820752040631209743172988704,0.56500000,0.07948591604528727652059898617,-1.44000000,-0.2025876777311193032503293632,0.01000000,0.001406830372482960646382282941,1.339001,behind_best
2026-04-12 13:00,fill-000006,ord-000513,buy,71070.00000000,0.00064000,1776000543414,1776000545266,1852,71072.00500000,71072.00500000,2.00500000,0.2821082647098530567696802700,2.00500000,0.2821082647098530567696802700,0.00000000,0,0.01000000,0.001407023764138917988876210823,1.635947,behind_best
2026-04-12 13:00,fill-000007,ord-000747,buy,70990.00000000,0.001,1776001466814,1776001468242,1428,70992.00500000,70990.00500000,2.00500000,0.2824261689749430235137041136,0.00500000,0.0007043245031466049340326148730,-2.00000000,-0.2817218643141576294401038539,0.01000000,0.001408649006293209868065229746,0.848667,at_best
2026-04-12 13:00,fill-000008,ord-000790,sell,70934.01000000,0.00040000,1776001704514,1776001705116,602,70932.00500000,70933.99500000,2.00500000,0.2826650677645443689347284065,0.01500000,0.002114641928739527500178158582,-1.99000000,-0.2805503665094480270224985181,0.01000000,0.001409761285826351666785439055,1.895594,behind_best
2026-04-12 13:00,fill-000009,ord-000889,buy,70930.00000000,0.00008000,1776002016114,1776002017340,1226,70932.00500000,70932.00500000,2.00500000,0.2826650677645443689347284065,2.00500000,0.2826650677645443689347284065,0.00000000,0,0.01000000,0.001409800836730894608153258885,1.592986,behind_best
2026-04-12 13:00,fill-000010,ord-000911,buy,70900.00000000,0.001,1776002110217,1776002113067,2850,70902.00500000,70900.00500000,2.00500000,0.2827846687833439971126345440,0.00500000,0.0007052185680381827899730049384,-2.00000000,-0.2820794701080738125811815900,0.01000000,0.001410437136076365579946009877,1.10305,at_best
2026-04-12 13:00,fill-000011,ord-000921,buy,70886.00000000,0.001,1776002134314,1776002136957,2643,70888.00500000,70888.00500000,2.00500000,0.2828405172356028357689005354,2.00500000,0.2828405172356028357689005354,0.00000000,0,0.01000000,0.001410675896436921874159104915,1.189559,behind_best
2026-04-12 13:00,fill-000012,ord-000952,sell,70952.00000000,0.001,1776002217814,1776002218658,844,70949.99500000,70951.99500000,2.00500000,0.2825933955315994032134885986,0.00500000,0.0007047018198713087630587413363,-2.00000000,-0.2818886738469819483426320185,0.01000000,0.001409403639742617526117482673,2.646456,at_best
2026-04-12 13:00,fill-000013,ord-000990,sell,70878.68000000,0.00077000,1776002338514,1776002341665,3151,70876.67500000,70876.33500000,2.00500000,0.2828857307428713324940821504,2.34500000,0.3308579654972283767212286019,0.34000000,0.04797064760726995164488176117,0.01000000,0.001410908168431677512670484443,2.019049,behind_best
