horizon,side,bucket,n,avg_side_aligned_ofi,avg_mid_move_bps,median_mid_move_bps
10s,sell,"[0.25,1.0)",24,0.5593476457564486034640318329,-0.642508271907750721070213875,-0.5150685676251007015909359635
10s,sell,>=1.0,20,1.895067412976930227206501262,-1.851079760089662674828096034,-0.4273765799613815217873776295
30s,all,<-1.0,685,-2.147405267495572907666569855,-1.747013832022915366156546587,-1.476905934099976925846314129
30s,all,"[-1.0,-0.25)",285,-0.6147308745660498345191868435,-1.639398987269818155750831929,-1.494688262144113422912825122
30s,all,"[-0.25,0.0)",385,-0.08535545560905265446041294309,-1.741650360570674057608796742,-1.322506501607275214065861750
30s,all,"[0.0,0.25)",157,0.05220557620266646673538849192,-2.202897599741656203558805954,-1.696610440436469041561153703
30s,all,"[0.25,1.0)",53,0.5332164022297382719070901453,0.2287395903809304699612000389,-0.3126662910679689284214390353
30s,all,>=1.0,33,1.943763505563451881438713464,-1.311847377878033292960580130,-1.100741877425612016804393449
30s,buy,<-1.0,344,-2.030155065828377250193770799,-1.738097749621925395017521109,-1.257093766493987886670629054
30s,buy,"[-1.0,-0.25)",139,-0.6113881174321509166716820066,-1.749307475830415536431505215,-1.450706353102870113312165514
30s,buy,"[-0.25,0.0)",207,-0.08625703374170150958371686420,-1.772953762736873708587736273,-1.272768322719741859957160032
30s,buy,"[0.0,0.25)",72,0.05031366615963347795447588139,-2.267296159285545208953384497,-1.934861038734362878524885462
30s,buy,"[0.25,1.0)",29,0.5115905455179779975151384031,1.407259947012877538827161187,-0.08316565505260529492922233875
30s,buy,>=1.0,14,1.987740292912631791196003891,1.369257695175043685757882994,1.725966802867653808808948512
30s,sell,<-1.0,341,-2.265686995863652984413323152,-1.756008355031538680150167607,-1.751998305079214574936608440
30s,sell,"[-1.0,-0.25)",146,-0.6179133625222960645246880196,-1.534760083777194622089095038,-1.569404636252813230078850734
30s,sell,"[-0.25,0.0)",178,-0.08430699115142168249117748438,-1.705246965916722778099580544,-1.374173996023021309103733632
30s,sell,"[0.0,0.25)",85,0.05380813529794146899686740907,-2.148348231657420810753986484,-1.198316004774579258109108416
30s,sell,"[0.25,1.0)",24,0.5593476457564486034640318329,-1.195305840549338904918503016,-1.061396818235549450379351978
30s,sell,>=1.0,19,1.911359556990371947933341571,-3.287398484338195277279447696,-3.060486126225159546967367775
1m,all,<-1.0,682,-2.148510779254205296120748702,-1.652273985650086400590219900,-1.369055684464546849601262532
1m,all,"[-1.0,-0.25)",284,-0.6133745865351026844641934232,-1.561368834121729910921473439,-1.698822509064762795576965670
1m,all,"[-0.25,0.0)",383,-0.08466251263132007395959608825,-1.936779009451278430466009788,-1.287757020282048648474123020
1m,all,"[0.0,0.25)",156,0.05234694363525206507976907909,-1.777033887971396113796719060,-1.390202405362409008795385922
