execution_model_version,equal_timestamp_policy,snapshot_time_policy,trade_gap_policy,entry_latency_ms,entry_jitter_ms,cancel_latency_ms,cancel_jitter_ms,latency_seed,post_only,queue_cancellation_credit,legacy_queue_cancellation_mode,window,run_dir,row_type,endpoint_sensitive,current_maker_fee_bps,net_pnl,gross_before_fees,current_fees,fee_notional,break_even_maker_fee_bps,required_rebate_bps,lot_count,total_quantity,quantity_weighted_net_per_btc
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T05:00:00,btcusdt_microprice_20260417_05_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,0.41877674904000000000,0.8044668000000000,0.38569005096000000000,1928.4502548000000000,4.171571436689360850191011108,0,47,0.01281000,32.69139336768149882903981265
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-3.93242645290000000000,-2.96995875000000000000,0.96246770290000000000,4812.3385145000000000,-6.171549946146250057197633577,6.171549946146250057197633577,,0.06243000,-62.98937134230337978535960276
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,1.56269870938000000000,2.2804613000000000,0.71776259062000000000,3588.8129531000000000,6.354360981756232504833019853,0,94,0.02329000,67.09741130871618720480893087
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,2.31177374410000000000,2.9885553000000000,0.67678155590000000000,3383.9077795000000000,8.831668871430011144013802165,0,89,0.02196000,105.2720284198542805100182149
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,1.55308243204000000000,2.1902756000000000,0.63719316796000000000,3185.9658398000000000,6.874761721040597329257026643,0,84,0.02067000,75.13703106144170295113691340
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T13:00:00,btcusdt_microprice_20260418_13_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-0.26824253644000000000,-0.01817320000000000000,0.25006933644000000000,1250.3466822000000000,-0.1453452891003320486917032426,0.1453452891003320486917032426,,0.01644000,-16.31645598783454987834549878
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T13:00:00,btcusdt_microprice_20260418_13_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,-0.24331301788000000000,-0.0291750000000000,0.21413801788000000000,1070.6900894000000000,-0.2724878121954903751068567610,0.2724878121954903751068567610,27,0.00704000,-34.56150822159090909090909091
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T13:00:00,btcusdt_microprice_20260418_13_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,-0.23334426230000000000,-0.0213343000000000,0.21200996230000000000,1060.0498115000000000,-0.2012575236423217834797001895,0.2012575236423217834797001895,26,0.00697000,-33.47837335724533715925394548
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T13:00:00,btcusdt_microprice_20260418_13_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,-0.24407985094000000000,-0.0341975000000000,0.20988235094000000000,1049.4117547000000000,-0.3258730412237110040444642258,0.3258730412237110040444642258,25,0.00690000,-35.37389144057971014492753623
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T19:00:00,btcusdt_microprice_20260418_19_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-0.19927154190000000000,-0.03604690000000000000,0.16322464190000000000,816.1232095000000000,-0.4416845346437853021260020911,0.4416845346437853021260020911,,0.01078000,-18.48530073283858998144712430
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T19:00:00,btcusdt_microprice_20260418_19_5h_5sessions_hs2.00_rq5000_qc0,full_matched_lots,False,2,-0.00038750412000000000,0.0971024000000000,0.09748990412000000000,487.4495206000000000,1.992050374374704021403442119,0,20,0.00322000,-0.1203428944099378881987577640
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T19:00:00,btcusdt_microprice_20260418_19_5h_5sessions_hs2.00_rq5000_qc0,matched_tail_excluded_worst_5pct,False,2,0.01053493524000000000,0.1059042000000000,0.09536926476000000000,476.8463238000000000,2.220929358457602100947558988,0,19,0.00315000,3.344423885714285714285714286
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-18T19:00:00,btcusdt_microprice_20260418_19_5h_5sessions_hs2.00_rq5000_qc0,matched_body_only_ex_worst_best_5pct,False,2,-0.01924769484000000000,0.0676338000000000,0.08688149484000000000,434.4074742000000000,1.556920725743811338870375265,0,18,0.00287000,-6.706513881533101045296167247
event_driven_v2,market_data_before_private_actions_v1,post_response_proxy_depth_boundary_v1,pause_until_snapshot,10,0,10,0,42,True,0,none,2026-04-19T13:00:00,btcusdt_microprice_20260419_13_5h_5sessions_hs2.00_rq5000_qc0,full_strategy,True,2,-4.52735897490000000000,-3.99054300000000000000,0.53681597490000000000,2684.0798745000000000,-14.86745248497261142144151195,14.86745248497261142144151195,,0.03550000,-127.5312387295774647887323944
