horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
30s,sell,"[0.01,0.05)bps",0,,,,
30s,sell,>=0.05bps,0,,,,
1m,all,<-0.05bps,1,-0.07129792053199356442535486451,-6.936251092289540881379905953,-6.936251092289540881379905953,0.1713395358245301813258973308
1m,all,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-2.043538696261586880766930400,-2.299785138432742586773615274,0.07245306864689731850844532457
1m,all,"[-0.01,0.0)bps",846,-0.0005812147031343366988660263472,-2.201970305613989582723626498,-1.706301353519159758561709300,0.2224742531573927310785083914
1m,all,"[0.0,0.01)bps",66,0.0002860629948378529320455839906,-0.5070419339044567055558403920,0.05863226156423846169117481475,0.3404848400384607822215111680
1m,all,"[0.01,0.05)bps",0,,,,
1m,all,>=0.05bps,0,,,,
1m,buy,<-0.05bps,1,-0.07129792053199356442535486451,-6.936251092289540881379905953,-6.936251092289540881379905953,0.1713395358245301813258973308
1m,buy,"[-0.05,-0.01)bps",0,,,,
1m,buy,"[-0.01,0.0)bps",412,-0.0005863773116030078029447439796,-2.0676745320317506318709289,-1.247982615562627381160023248,0.2227081018014777916277707340
1m,buy,"[0.0,0.01)bps",25,0.0003111709283393719713290981565,0.0806587837919952550578674868,2.700998719553280810704043482,0.3240316385506651546985597252
1m,buy,"[0.01,0.05)bps",0,,,,
1m,buy,>=0.05bps,0,,,,
1m,sell,<-0.05bps,0,,,,
1m,sell,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,-2.043538696261586880766930400,-2.299785138432742586773615274,0.07245306864689731850844532457
1m,sell,"[-0.01,0.0)bps",434,-0.0005763137937124645908465985479,-2.329458459337221029155219606,-2.048175967362035012934541706,0.2222522585920400929534022054
1m,sell,"[0.0,0.01)bps",41,0.0002707532792881462007751485246,-0.8653960300608298522715159280,-1.636020190666928268580474213,0.3505172799700434819306279017
1m,sell,"[0.01,0.05)bps",0,,,,
1m,sell,>=0.05bps,0,,,,
5m,all,<-0.05bps,1,-0.07129792053199356442535486451,-0.6480234584491958608901642239,-0.6480234584491958608901642239,0.1713395358245301813258973308
5m,all,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,2.773022178523064498761529850,4.189280651658348701912490629,0.07245306864689731850844532457
5m,all,"[-0.01,0.0)bps",787,-0.0005810261799557599292935811461,-1.903516729796556998444497389,-0.6557420740805147034327305938,0.2253176518924778275288765642
5m,all,"[0.0,0.01)bps",58,0.0002844704400445363795868374329,3.246586011250583156989352781,2.093560279577014486296097386,0.3031458854947351548635935916
5m,all,"[0.01,0.05)bps",0,,,,
5m,all,>=0.05bps,0,,,,
