queue_cancellation_mode,window,run_dir,row_type,endpoint_sensitive,current_maker_fee_bps,net_pnl,gross_before_fees,current_fees,fee_notional,break_even_maker_fee_bps,required_rebate_bps,lot_count,total_quantity,quantity_weighted_net_per_btc
none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qnone,matched_tail_excluded_worst_5pct,False,2,-1.32505320768000000000,-0.6729212000000000,0.65213200768000000000,3260.6600384000000000,-2.063757619853559524029894033,2.063757619853559524029894033,84,0.02274000,-58.26971010026385224274406332
none,2026-04-13T12:00:00,btcusdt_microprice_20260413_12_5h_5sessions_hs2.00_rq5000_qnone,matched_body_only_ex_worst_best_5pct,False,2,-1.76829387840000000000,-1.1684492000000000,0.59984467840000000000,2999.2233920000000000,-3.895839179957956262832455262,3.895839179957956262832455262,80,0.02090000,-84.60736260287081339712918660
none,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000_qnone,full_strategy,True,2,2.59313245562000000000,3.54165165000000000000,0.94851919438000000000,4742.5959719000000000,7.467749036570635138990301389,0,,0.06307000,41.11514912985571587125416204
none,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000_qnone,full_matched_lots,False,2,-0.97366356710000000000,-0.3907561000000000,0.58290746710000000000,2914.5373355000000000,-1.340713996833958210929221428,1.340713996833958210929221428,74,0.01937000,-50.26657548270521424883840991
none,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000_qnone,matched_tail_excluded_worst_5pct,False,2,-0.08036316384000000000,0.4598802000000000,0.54024336384000000000,2701.2168192000000000,1.702492731169204767848055905,0,70,0.01795000,-4.477056481337047353760445682
none,2026-04-14T12:00:00,btcusdt_microprice_20260414_12_5h_5sessions_hs2.00_rq5000_qnone,matched_body_only_ex_worst_best_5pct,False,2,-1.42564141384000000000,-0.9453698000000000,0.48027161384000000000,2401.3580692000000000,-3.936813139720329385020145500,3.936813139720329385020145500,66,0.01595000,-89.38190682382445141065830721
none,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000_qnone,full_strategy,True,2,1.17704511110000000000,2.05977000000000000000,0.88272488890000000000,4413.6244445000000000,4.666844734754821752256588038,0,,0.05958000,19.75570847767707284323598523
none,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000_qnone,full_matched_lots,False,2,0.90642102332000000000,1.4936682000000000,0.58724717668000000000,2936.2358834000000000,5.087017049428652180335928116,0,83,0.01982000,45.73264497073662966700302725
none,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000_qnone,matched_tail_excluded_worst_5pct,False,2,1.20907478404000000000,1.7752718000000000,0.56619701596000000000,2830.9850798000000000,6.270862438192070050626481582,0,79,0.01911000,63.26921946834118262689691261
none,2026-04-15T12:00:00,btcusdt_microprice_20260415_12_5h_5sessions_hs2.00_rq5000_qnone,matched_body_only_ex_worst_best_5pct,False,2,0.38770799204000000000,0.8913518000000000,0.50364380796000000000,2518.2190398000000000,3.539611868198694254031110356,0,75,0.01700000,22.80635247294117647058823529
none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qnone,full_strategy,True,2,2.68759037464000000000,3.58601185000000000000,0.89842147536000000000,4492.1073768000000000,7.982916589483961330939661611,0,,0.06043000,44.47443942809862651001158365
none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qnone,full_matched_lots,False,2,1.44014617858000000000,2.1544813000000000,0.71433512142000000000,3571.6756071000000000,6.032130397612782688592783429,0,96,0.02402000,59.95612733472106577851790175
none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qnone,matched_tail_excluded_worst_5pct,False,2,1.77172123980000000000,2.4524310000000000,0.68070976020000000000,3403.5488010000000000,7.205511492238480173330119382,0,91,0.02288000,77.43536887237762237762237762
none,2026-04-16T12:00:00,btcusdt_microprice_20260416_12_5h_5sessions_hs2.00_rq5000_qnone,matched_body_only_ex_worst_best_5pct,False,2,0.79028338196000000000,1.4174934000000000,0.62721001804000000000,3136.0500902000000000,4.519996043524930047050050145,0,86,0.02108000,37.48972400189753320683111954
none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qnone,full_strategy,True,2,1.33408551694000000000,2.18640250000000000000,0.85231698306000000000,4261.5849153000000000,5.130491456712144984440925191,0,,0.05698000,23.41322423552123552123552124
none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qnone,full_matched_lots,False,2,0.72187400414000000000,1.2755209000000000,0.55364689586000000000,2768.2344793000000000,4.607705414905963381553637164,0,69,0.01849000,39.04131985613845321795565170
none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qnone,matched_tail_excluded_worst_5pct,False,2,0.96290792106000000000,1.4994903000000000,0.53658237894000000000,2682.9118947000000000,5.589040411510312426212972502,0,66,0.01792000,53.73370095200892857142857143
none,2026-04-16T17:00:00,btcusdt_microprice_20260416_17_5h_5sessions_hs2.00_rq5000_qnone,matched_body_only_ex_worst_best_5pct,False,2,0.46551653268000000000,0.9720484000000000,0.50653186732000000000,2532.6593366000000000,3.838054277386308315398409749,0,63,0.01692000,27.51279743971631205673758865
none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qnone,full_strategy,True,2,-6.45816669974000000000,-5.46349325000000000000,0.99467344974000000000,4973.3672487000000000,-10.98550132493858194816000297,10.98550132493858194816000297,,0.06453000,-100.0800666316441964977529831
none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qnone,full_matched_lots,False,2,1.39176329956000000000,2.0682324000000000,0.67646910044000000000,3382.3455022000000000,6.114787500729144168860302068,0,86,0.02195000,63.40607287289293849658314351
none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qnone,matched_tail_excluded_worst_5pct,False,2,1.54906496142000000000,2.2180887000000000,0.66902373858000000000,3345.1186929000000000,6.630822113152169160209591677,0,82,0.02171000,71.35260071027176416397973284
none,2026-04-17T12:00:00,btcusdt_microprice_20260417_12_5h_5sessions_hs2.00_rq5000_qnone,matched_body_only_ex_worst_best_5pct,False,2,0.87557493416000000000,1.5041724000000000,0.62859746584000000000,3142.9873292000000000,4.785804848862894995854251820,0,78,0.02039000,42.94138961059342815105443845
none,pooled,pooled,full_strategy,True,2,-8.64804729126000000000,-3.16973120000000000000,5.47831609126000000000,27391.5804563000000000,-1.157191789300704323813690815,1.157191789300704323813690815,,0.36748000,-23.53338220109937955807118755
none,pooled,pooled,full_matched_lots,False,2,1.62050952012000000000,5.4205790000000000,3.80006947988000000000,19000.3473994000000000,2.852884153145101467559854241,0,496,0.12755000,12.70489627691101528812230498
none,pooled,pooled,matched_tail_excluded_worst_5pct,False,2,4.86348604292000000000,8.4877922000000000,3.62430615708000000000,18121.5307854000000000,4.683816340084454596144440353,0,471,0.12171000,39.95962569156190945690575959
none,pooled,pooled,matched_body_only_ex_worst_best_5pct,False,2,0.19900469294000000000,3.5639183000000000,3.36491360706000000000,16824.5680353000000000,2.118282200483521379148141891,0,446,0.11308000,1.759857560488149982313406438
proportional,pooled,pooled,full_strategy,True,2,-14.63285887158337152085464099,-8.073676651679544869433683544,6.559182219903826651420957446,32795.91109951913325710478723,-2.461793675187125488963900254,2.461793675187125488963900254,,0.4403642471265301079362379094,-33.22898933568261256595297937
proportional,pooled,pooled,full_matched_lots,False,2,-2.159382499667244171917612898,2.859752824345283494771521121,5.019135324012527666689134035,25095.67662006263833344567018,1.139540036174623613673047644,0,696,0.1685984049184999175676348163,-12.80784655531637278512202855
proportional,pooled,pooled,matched_tail_excluded_worst_5pct,False,2,2.343912655752893057828416819,7.143727278950430882061540423,4.799814623197537824233123597,23999.07311598768912116561798,2.976667992311514161878806389,0,661,0.1612495408591111301533263902,14.53593382818276888643744430
proportional,pooled,pooled,matched_body_only_ex_worst_best_5pct,False,2,-2.736085231764536667503251514,1.729570030014491752699912315,4.465655261779028420203163822,22328.27630889514210101581911,0.7746097397251687457536911989,0,626,0.1501721284543800379846300647,-18.21966073148997750276111654
