horizon,side,bucket,n,avg_side_aligned_ofi,avg_mid_move_bps,median_mid_move_bps
5m,all,>=1.0,45,2.085154348999026273908578348,-1.172674791040018965382350546,-2.051544481861264742778337498
5m,buy,<-1.0,379,-2.006280884337226492603961558,-0.7962618325662891384623480565,-0.4836655074144914650167761397
5m,buy,"[-1.0,-0.25)",176,-0.6118480733550851745810303193,-1.534341581494029908516392845,0.730647945462389065270688354
5m,buy,"[-0.25,0.0)",242,-0.09014590983627758477496696541,-1.040540365856706608038468238,-0.4799211802450409621582865164
5m,buy,"[0.0,0.25)",88,0.04375172248114253490916140826,0.5518327834456839603817606464,-0.962271733699210324997067539
5m,buy,"[0.25,1.0)",30,0.487255309403941268532427919,4.696483109170122768646801227,2.624111896877341425391250161
5m,buy,>=1.0,20,2.382769179707085300578273380,1.064006811552426139507494134,1.010663743103311190868140740
5m,sell,<-1.0,379,-2.286610438249349677902654233,-2.696146098448457978490379889,-1.952477883975937917996879976
5m,sell,"[-1.0,-0.25)",201,-0.6035814115023194425958490075,-1.965278532567157220367034443,-1.267929548854563676957802642
5m,sell,"[-0.25,0.0)",215,-0.08079409808897276457421921558,-1.783427867943195742338028443,-1.186048133853773934803135107
5m,sell,"[0.0,0.25)",92,0.05489168663393511380015078079,-0.3297821221457009884961441448,-1.581308166035194148467688026
5m,sell,"[0.25,1.0)",29,0.5501251886727180106764231659,-5.453844818006806964179832110,-5.634125079593275589040652074
5m,sell,>=1.0,25,1.847062484432579052572822322,-2.962020073113975049294226291,-2.533147066772709925142363912
