horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
1m,all,"[0.0,0.01)bps",118,0.0002969088709639384460479965793,-0.7431130180453825524165603631,-0.4905644799179967529353215294,0.2938108172519516899090524439
1m,all,"[0.01,0.05)bps",0,,,,
1m,all,>=0.05bps,0,,,,
1m,buy,<-0.05bps,3,-0.06651419728728264827202838073,-6.329054751453898166530821947,-6.936251092289540881379905953,0.1941399839270074939483916976
1m,buy,"[-0.05,-0.01)bps",0,,,,
1m,buy,"[-0.01,0.0)bps",946,-0.0005743403992976117583168041742,-1.734935748310699611795003022,-1.420050560854952924631721584,0.2235433360543083396845298797
1m,buy,"[0.0,0.01)bps",48,0.0003143111699815052361603375671,0.9416809552794506046506861683,1.434859261538088941308409870,0.3153232360715124036975661615
1m,buy,"[0.01,0.05)bps",0,,,,
1m,buy,>=0.05bps,0,,,,
1m,sell,<-0.05bps,0,,,,
1m,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,-2.431679200644210339367179367,-2.947942926112411650970770770,0.1174008574898577888441777655
1m,sell,"[-0.01,0.0)bps",935,-0.0005848521856880131775354223189,-1.812400525637443894378037845,-1.411339216667455635086732687,0.2184404617185010474965382101
1m,sell,"[0.0,0.01)bps",70,0.0002849758659233212185423913309,-1.898400314039553860119815126,-2.559503244836478176960576756,0.2790594443471100575969287516
1m,sell,"[0.01,0.05)bps",0,,,,
1m,sell,>=0.05bps,0,,,,
5m,all,<-0.05bps,3,-0.06651419728728264827202838073,-7.411467315873684599556553653,-6.155321757702804255824071511,0.1941399839270074939483916976
5m,all,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,4.654183927277834078552375185,2.492955662981015256952177090,0.1174008574898577888441777655
5m,all,"[-0.01,0.0)bps",1761,-0.0005801883967565984451119537581,-1.574613625566686636102146871,-1.198928412520322338936526386,0.2226254903108106250917675076
5m,all,"[0.0,0.01)bps",108,0.0002985260467491368726812173826,0.9533239701614735820018759259,0.2693301443526640826139832258,0.2778427132831836751070374181
5m,all,"[0.01,0.05)bps",0,,,,
5m,all,>=0.05bps,0,,,,
5m,buy,<-0.05bps,3,-0.06651419728728264827202838073,-7.411467315873684599556553653,-6.155321757702804255824071511,0.1941399839270074939483916976
5m,buy,"[-0.05,-0.01)bps",0,,,,
5m,buy,"[-0.01,0.0)bps",890,-0.0005757996544195073838789959082,-0.8547006319576755306637890080,-0.2008661682345903471362267160,0.2248163386744661987080030249
5m,buy,"[0.0,0.01)bps",42,0.0003166818494789942033026667869,4.069157030250385595884193926,2.205652212298102074195025671,0.3092497402324954426589686595
5m,buy,"[0.01,0.05)bps",0,,,,
5m,buy,>=0.05bps,0,,,,
5m,sell,<-0.05bps,0,,,,
5m,sell,"[-0.05,-0.01)bps",4,-0.03168952565246860926785319898,4.654183927277834078552375185,2.492955662981015256952177090,0.1174008574898577888441777655
5m,sell,"[-0.01,0.0)bps",871,-0.0005846728751492632493568819861,-2.310230806177501657732615874,-1.623524534792741784465636505,0.2203868507658583168042249010
5m,sell,"[0.0,0.01)bps",66,0.0002869723541028640259221132167,-1.029478886258743154105053709,-3.047342762243462902433455209,0.2578564234063489139376266279
5m,sell,"[0.01,0.05)bps",0,,,,
5m,sell,>=0.05bps,0,,,,
