source,scope,scope_value,cluster_gap_ms,cluster_count,tail_rows,largest_cluster_rows,worst_cluster_id,worst_cluster_metric_sum,worst_cluster_share_of_total_metric_sum,worst_cluster_share_of_negative_metric_sum,worst_cluster_share_of_tail_metric_sum
matched_lot,window,2026-04-12 15:00,60000,1,1,1,matched_lot_window_2026_04_12_15_00_60000_1,-98.160058000000,0.2592040666411149068006926237,0.1873617239418418863591652342,1
matched_lot,window,2026-04-13 02:00,60000,1,1,1,matched_lot_window_2026_04_13_02_00_60000_1,-134.450000000000,0.2807079788861834768648521926,0.1683769810550561494714908930,1
matched_lot,window,2026-04-13 07:00,60000,1,1,1,matched_lot_window_2026_04_13_07_00_60000_1,-218.278800000000,0.1267738017736165892253633360,0.1129866949215430374013286681,1
matched_lot,window,2026-04-13 12:00,60000,3,4,2,matched_lot_window_2026_04_13_12_00_60000_1,-925.093198000000,0.1069647428286019425265726356,0.08339236871650330699669863798,0.4872785217240359639497500662
matched_lot,window,2026-04-14 02:00,60000,1,2,2,matched_lot_window_2026_04_14_02_00_60000_1,-383.133126000000,0.2060078500798069179393413396,0.1795287090313432920039496950,1
matched_lot,window,2026-04-14 12:00,60000,2,4,3,matched_lot_window_2026_04_14_12_00_60000_2,-1551.569690000000,0.4923497574044511532925927465,0.1464159974388756152651380381,0.7421363104696739367407793884
matched_lot,window,2026-04-15 00:00,60000,1,1,1,matched_lot_window_2026_04_15_00_00_60000_1,-235.581944000000,0.2151035719991769922925112708,0.1513148876470730932255263928,1
matched_lot,window,2026-04-15 05:00,60000,1,1,1,matched_lot_window_2026_04_15_05_00_60000_1,-407.725958000000,0.1178367132087156606799845798,0.1070904398243894159382321455,1
matched_lot,window,2026-04-15 12:00,60000,4,5,2,matched_lot_window_2026_04_15_12_00_60000_3,-522.159832000000,-0.4058856756399025341133937828,0.09708589908909821255401579961,0.3960071629085168311713834975
matched_lot,window,2026-04-16 12:00,60000,4,4,1,matched_lot_window_2026_04_16_12_00_60000_3,-366.905778000000,-0.06544406551308053549512990165,0.06597168521305013984597490680,0.2718437840369415674031026758
matched_lot,window,2026-04-16 17:00,60000,3,5,2,matched_lot_window_2026_04_16_17_00_60000_1,-1441.279914000000,-0.4484062228547973787095535419,0.2905477835044700225189785865,0.6881110978274010841789500124
matched_lot,window,2026-04-17 05:00,60000,3,3,1,matched_lot_window_2026_04_17_05_00_60000_1,-194.768390000000,-0.1211860812832832667309815399,0.1097216463827163560227972561,0.3495303636613450502579358719
matched_lot,window,2026-04-17 12:00,60000,2,5,4,matched_lot_window_2026_04_17_12_00_60000_2,-2307.030348000000,-0.3384556111255747104599482297,0.2925160634034080490958345097,0.8209989231888458411241648381
matched_lot,window,2026-04-18 13:00,60000,1,1,1,matched_lot_window_2026_04_18_13_00_60000_1,-142.410794000000,0.1844997820593090902705514542,0.09844252122061498138641407434,1
